# id|name|family|tier|biome indices (biomes.tsv order)|exclusive|mode|authored 12-block room graph; /=row .=void
# h pitched house; M mansion; s classroom; S school hall; K keep; T battle tower; D vaulted dungeon;
# U sewer; B bunker; F aircraft fuselage; W wing; C cell mast; G sealed glass habitat; A arch;
# P backroom gate; = street/bridge; o courtyard; q crypt; 2/3/4/6/8 occupied storeys.
# 62 exclusive commissions, one for each current biome.
ashveil_tidal_capital|Ashveil Tidal Capital|underwater_city|5|0|true|underwater|..GG.G.../.GGG=GG../GG=G=G.G./G===G==G./.GG=GGGG./..G=G..G./..GGG....
rustwater_metropolis|Rustwater Split-Avenue Metropolis|metropolis|5|1|true|surface|..34=68..../.234=8642../====o=====/h3==o==4h./.4=8o6=3../.2=====2../..hh=hhh../....sS..../....ss....
gutterglass_campus|Gutterglass Four-Court Campus|school|3|2|true|surface|ss=ss=ss./sS=SS=Ss./===oo===./ss=oo=ss./sS====Ss./..ssss.../..sSs..../...s.....
tenement_wound_steps|Tenement Wound Stair Borough|city|4|3|true|surface|..6=8./.44=6./.4==4./23=3../2==2../.=hh../.hhh../..h...
cinder_hospice_wings|Cinder Hospice Comb Ward|hospital|3|4|true|surface|s..s..s./SssSssS./===o===./SssSssS./s..s..s./...B..../..BBB...
drowned_borough_arcades|Drowned Borough Arcade City|underwater_city|4|5|true|underwater|GGG..GG./G=G..G../G=GGGGG./=======./GG.G=G../.GGG=GG./...GGG../....G...
whiteout_reservoir_school|Whiteout Reservoir Boarding School|school|3|6|true|surface|..ss.../.sSSs../ss==ss./sSooSs./ss==ss./..==.../.sSSs../..ss.../...s...
penitent_spillway_prison|Penitent Spillway Prison Sluices|sewer|4|7|true|buried|UUUUU.../UqUqU.../UUUUUUU./..UqUqU./..UUUUU./....U.../...BBB../....B...
palimpsest_archive|Palimpsest Descending Archive|dungeon|4|8|true|buried|DDD.D.../DqDDDD../DD..qD../.DDDD.../...DqD../..DDD.../..D...../.BD.....
blossom_shrine_manor|Red Blossom Petal Manor|mansion|2|9|true|surface|..hM.../.MMMh../MMooMM./hMooMh./.MMMM../...M.../..hMh../...h...
bloomfall_court|Bloomfall Butterfly Tenements|city|3|10|true|surface|3...3.../44=44.../2=o=2.../==o===../4=o=43../44=44h../2...2h../.....hh.
signalwreck_cell_chain|Signalwreck Fallen Relay and Phone Exchange|telecom|3|11|true|surface|C==C....../...=....../..BB==C.../..BB..=.../......=.../.....C=.../.....==BB./.......BB.
cordon_vehicle_school|Cordon Driver School and Checkpoint|school|2|12|true|surface|.sssss../.sS=Ss../===o===./B==o==B./.BB=BB../...=.../..BB.../..B....
blackreed_stilt_exchange|Blackreed Pump and Relay Hamlet|telecom|2|13|true|surface|h=C..../==B.../h=BB../.=..../C=hh../.===C./..BB../...B..
sunken_convoy_airliner|Sunken Convoy Broken Airliner|plane|3|14|true|underwater|...F.../...F.../.WWFWW./WWWFWWW/...FF../....F../....FW./....F..
dead_array_switchyard|Dead Array Antenna Switchyard|telecom|3|15|true|surface|C===C===C/..=.B.=../..=.BB=../C===C===./....=..../...BB..../...BBB...
sanguine_hunting_castle|Sanguine Exclusion Hunting Castle|castle|4|16|true|surface|T===K.../=MooM.../=MooM=T./K===K==./...=..../..MhM.../..hhh...
gravity_scar_gate_lab|Gravity Scar Folded Laboratory|backroom|4|17|true|buried|BB.BB../BPPPBB./BP.BPB./BPPPB../.BBB.../..P..../.BBB.../..BB...
oxide_rail_terminal|Oxide Railgrave Freight Borough|city|3|18|true|surface|B=3=BB.../B=2=BB.../=======../.=4=3=2../.=4=3=2../.======../...BBB.../....BB...
glass_reactor_containment|Glass Reactor Twin Containment|bunker|5|19|true|buried|..BBBB.../.BGoGB.../BBGGGBB../B=GGG=B../BB===BB../.BGoGB.../.BGGGB.../..BBB..../...B.....
bleached_vault_settlement|Bleached Expanse Vault Settlement|bunker|3|20|true|buried|BB...BB./BBBBBBB./B..B..B./BBBBBBB./...BBB../....B.../...BBB../...B....
bitter_orchard_homestead|Bitter Orchard Seven-House Homestead|house|1|21|true|surface|h.h.h.../=====h../h=o=h.../.=o=..../h===h.../...=..../..hhh...
capitol_ossuary_city|Capitol Ossuary Monumental City|metropolis|5|22|true|surface|..K==K..../24=AA=42../24=oo=42../===oo====./3K=AA=K3../.4====4.../.2=33=2.../..=22=..../..hhhh..../...hh.....
neon_dust_casino|Neon Dust Casino Mile|city|4|23|true|surface|.3=6=3.../.4=8=4.../===o====./s3=o=3s../.2=o=2.../.=======./...hhhhh./....h.h..
viridian_blast_bunker|Viridian Blastlands Radial Shelter|bunker|4|24|true|buried|...B..../.BBBBB../.B.B.B../BBBBBBB./B.BBB.B./.BBBBB../..B.B.../..BBB...
coalbreath_mine_sewers|Coalbreath Mine Drain Labyrinth|sewer|4|25|true|buried|UU.DD.../UUDqD.../.U.DD.../.UUUUUU./..D.U.U./..DDUUU./..qD..U./..DD..U.
shelterfall_school_vault|Shelterfall Terraced Vault School|school|3|26|true|buried|ssBss../sSBSS../ssBss../BBBBB../sSBss../ssBss../..BBB../...BB..
iron_convoy_transport|Iron Convoy Cargo Plane Wreck|plane|2|27|true|surface|..FF..../..FF..../WWFFWWW./..FF..../..FFW.../...F..../..WFW.../...F....
brotherhood_forge_keep|Brotherhood Slagfield Forge Keep|castle|4|28|true|surface|K==K.../=BB=.../=BB=T../K==K=../.BB==../.BB..../..B....
vaultroot_glass_manor|Vaultroot Conservatory Manor|mansion|3|29|true|surface|.GGMG../.GooG../MMooMM./.GooG../.GGMG../...M.../..hhh../..h....
brine_lantern_underport|Brine Lantern Underport|underwater_city|4|30|true|underwater|G..GG.../GGGGG.../.G=G..../GG=GGGG./.G=G..G./GG=GGGG./..G..G../..GGGG..
gilded_hush_palace|Gilded Hush Casino Palace|mansion|4|31|true|surface|MM...MM./M33333M./.3ooo3../.3ooo3../M33333M./MM.=.MM./..hMh.../...M....
carousel_midway_school|Carousel Wastes Midway Academy|school|2|32|true|surface|ss=ss.../sS=Ss.../==o====./h=o=hSh./==o====./sS=Ss.../ss=ss.../..hh....
hollow_crown_citadel|Hollow Crown Borough Citadel|castle|5|33|true|surface|K===T===K/=hhh=hhh=/=hoo=ooh=/K===K===K/..==o==../..Mo=oM../..M===M../....K..../....h....
rootbound_cloister|Rootbound Sanctuary Cloister Keep|castle|3|34|true|surface|..K..../.MMMh../MMooMM./M=oo=M./hMMMMh./..M..../.hhh.../...h...
leechwater_sunken_city|Leechwater Lantern Depths|underwater_city|5|35|true|underwater|G=GG.../G=G..../G=GGG../====G../GG=GG../.G=G.../GG=GGG./G.G..G./..GGGG.
cinderlake_kiln_towers|Cinderlake Triple Kiln Towers|battle_tower|5|36|true|surface|T==T..../=qq=..../=qq=.../K==K==T/...=..../..DDD.../...D....
monarch_shore_fort|Forgotten Monarch Shore Fort|castle|4|37|true|surface|K===K../=ooo=../=oKo=../K===K../..=..../.MMMh../.hMh.../..h....
blackgutter_suspended_borough|Blackgutter Suspended Borough|city|4|38|true|surface|h==3..../...=.../2==4=h./=..=.../3==2.../...=.../h==3=h./...h...
frostcrown_star_bastion|Frostcrown Star Bastion|castle|5|39|true|surface|...T...../.K===K.../.=MMM=.../T=MoM===T/.=MMM=.../.K===K.../...=...../..hKh..../...h.....
ringfall_ashen_capital|Ringfall Ashen Ring Capital|metropolis|5|40|true|surface|..K=====K.../.34hhhhh43../K3==ooo==3K./=h=ooooo=h=./=h=oK=Ko=h=./=h=ooooo=h=./K3==ooo==3K./.34hhhhh43../..K=====K.../.....M....../....hhh.....
last_ember_cathedral|Last Ember Cathedral and Crypts|dungeon|5|41|true|surface|...K.../..SSS../..SSS../KSSSSSK/..SSS../..SSS../..SSS../.qqqqq./..qqq../...q...
drowned_oath_subcloister|Drowned Oath Submerged Cloister|underwater_city|4|42|true|underwater|..GGG.../.GGGGG../GGoooGG./GGoGoGG./GGoooGG./.GGGGG../..GGG.../...G..../..GG....
listening_pines_cabin|Listening Pines Cabin|house|1|43|true|surface|hh/h.
bloodroot_lumber_manor|Bloodroot Lumber Baron's Manor|mansion|3|44|true|surface|hMM.../hMMMh./..M=h./hMMMh./hMM.../.h..../.hhh..
boomtown_main_street|Boomtown Midnight Main Street|city|3|45|true|surface|h2h=h2h./=======./M2h=h2M./...=..../hhh=ss../=======./.h2=h2../....hh..
deadward_panopticon|Deadward Asylum Panopticon|hospital|4|46|true|surface|..sSs..../.ssSss.../sS=o=Ss../SSoooSS../sS=o=Ss../.ssSss.../..sSs..../...B...../..BBB....
unburied_siege_castle|Bastion of the Unburied Siege Castle|castle|5|47|true|surface|T==K==T/=BB=BB=/K==K==K/=oo=oo=/T==K==T/...=.../..BBB../..B....
possessed_orchard_farm|Possessed Orchard Four-Barn Farm|house|2|48|true|surface|hh...hh./hM===Mh./.=ooo=../.=ooo=../hM===Mh./hh.=.hh./..hhh.../...hh...
endless_night_phone_boulevard|Endless Night Telephone Boulevard|telecom|3|49|true|surface|C==C==C../h2=3=h2../========./h2=3=h2C./..=.=..../.BB=BB.../..BBB....
mirrorward_loop_hospital|Mirrorward Loop Hospital|backroom|4|50|true|buried|sSSSss../sPPPPs../sPssPs../sPsPPs../sPPPss../sssSs.../..P...../.BB.....
kandarian_hunt_lodge|Kandarian Hunting Grounds Lodge Keep|mansion|4|51|true|surface|hM...Mh./MMMMMMM./.MoooM../KMoooMK./.MMMMM../...M..../..hhh.../...hh...
grinning_hollow_funhouse|Grinning Hollow Folded Funhouse|backroom|3|52|true|surface|hPPPh../PPoPP../Po=oP../PPoPP../hPPPh../..P.../.hhh../...h..
limbo_mourning_academy|Limbo Mourning Fields Academy|school|3|53|true|surface|sSSS.../s..S.../sSSSss./...S.S./sSSSSS./s..S.../sSSS.../..s....
lust_gale_spires|Lust Unceasing Gale Spires|battle_tower|5|54|true|surface|T==A..../...=.../A==T==A/..=..=./..A==T./.....=./....AA.
gluttony_carrion_drain|Gluttony Carrion Slough Gutworks|sewer|4|55|true|buried|UUUU..../UqqUU../UUqU.../.UUUUU./..UqqU./.UUUUU./.U...U./.UUUUU./...U...
greed_quarry_vault|Greed Burdened Quarry Vault|dungeon|5|56|true|buried|DDD...../DqDDDD../DDD.qD../..DDDD../..DqDDD./..DDDqD./....DDD./.....D../....BB..
wrath_styx_underbridge|Wrath Styx Underbridge City|underwater_city|5|57|true|underwater|GG..GG../G====G../GG=GGG../..=..G../GG=GGG../G====G../GG..GG../.....G../....GG..
heresy_ember_catacombs|Heresy Sepulcher Ember Catacombs|dungeon|4|58|true|buried|qqDqqDq./qDDDDqq./DDqDDDD./qqDDDqq./qDqqDqq./.DDDD.../...D..../..BB....
violence_thornblood_towers|Violence Thornblood Inquisition Towers|battle_tower|5|59|true|surface|T==K.../=qq=.../K==T.../...=.../.K=T.../.=.=.../.T=K.../...q...
fraud_malebolge_underworks|Fraud Malebolge Ten Trench Underworks|sewer|5|60|true|buried|UUUUUUUUUUU/U.U.U.U.U.U/UUUUUUUUUUU/..U.U.U.U.U/..UUUUUUUUU/....U.U.U.U/....UUUUUUU/......U..../.....BBB...
treachery_cocytus_vault|Treachery Cocytus Icebound Vault|dungeon|5|61|true|buried|..qqq.../.qqDqq../qqDDDqq./qDDqDDq./qqDDDqq./.qqDqq../..qqq.../...D..../...BB...
# 42 shared family commissions with explicit biome affinities.
coastal_bell_houses|Coastal Bell House Crescent|house|1|0,5,7,11,13,14,30,35,42,57|false|surface|hh...../hMh..../.hMh.../..hMh../...hh../....h..
pine_switchback_homes|Pine Switchback Homes|house|1|9,16,21,29,34,43,44,48,51|false|surface|h..hh../hh=hh../..=..../hh=hhh./h.=.hh./..hh...
